X1,X2,Y
66,68,1
38,80,0
38,59,0
37,2,0
34,16,0
29,77,0
36,84,0
61,95,0
94,92,0
3,21,0
88,3,0
25,75,0
34,55,0
46,84,0
84,45,0
34,28,0
72,85,0
6,29,0
65,91,0
72,62,0
22,90,0
82,53,0
23,47,0
76,93,0
2,68,0
17,17,0
74,55,0
69,9,0
27,74,0
99,26,0
84,1,0
75,56,0
10,22,0
73,9,0
44,18,0
53,37,1
18,63,0
76,9,0
74,99,0
83,84,0
57,59,1
31,10,0
91,22,0
43,100,0
1,64,0
51,50,1
26,93,0
85,12,0
31,82,0
96,32,0
72,57,0
17,49,0
51,37,1
80,87,0
71,58,0
78,50,0
49,71,0
41,66,0
68,86,0
45,100,0
92,78,0
21,27,0
96,34,0
93,12,0
33,33,0
50,14,0
71,27,0
49,8,0
11,44,0
10,99,0
95,27,0
18,21,0
17,65,0
97,35,0
9,82,0
88,60,0
31,82,0
52,66,1
78,37,0
24,14,0
12,89,0
86,6,0
76,0,0
55,63,1
66,0,0
20,24,0
13,83,0
87,83,0
26,54,0
14,23,0
17,66,0
5,33,0
8,89,0
63,38,1
62,97,0
76,97,0
98,12,0
96,44,0
86,90,0
83,9,0
